Name or Synonym,RID,Parent RID
moderate sedation,RID11015,RID11013
mild sedation,RID11016,RID11013
no sedation,RID11017,RID11013
interventional access technique,RID11018,RID11005
trochar access technique,RID11019,RID11018
coaxial access technique,RID11021,RID11018
Seldinger access technique,RID11022,RID11018
interventional access closure technique,RID11023,RID11005
manual pressure access closure technique,RID11024,RID11023
clamp pressure access closure technique,RID11025,RID11023
closure device access closure technique,RID11026,RID11023
track closure technique,RID11027,RID11023
ablation track closure technique,RID11028,RID11027
embolization track closure technique,RID11029,RID11027
balloon dilation procedure,RID11030,RID10367
angioplasty,RID11031,RID11030
track dilation,RID11032,RID11030
cholangioplasty,RID11034,RID11030
urinary tract dilatation,RID11036,RID11030
sequential dilation of a structure,RID11037,RID11030
compliant balloon,RID11039,RID5451
noncompliant balloon,RID11040,RID5451
cutting balloon,RID11041,RID5451
cryoplasty balloon,RID11042,RID5451
balloon deployment,RID11043,RID1559
monorail deployment,RID11044,RID11043
over-the-wire deployment,RID11045,RID11043
balloon catheter,RID11046,RID5576
low profile balloon catheter,RID11047,RID11046
standard balloon catheter,RID11048,RID11046
high-pressure balloon,RID11050,RID5451
low-pressure balloon,RID11051,RID5451
interventional wire,RID11052,RID29033
hydrophilic wire,RID11053,RID11052
nonhydrophilic wire,RID11054,RID11052
stiff wire,RID11055,RID11052
nonstiff wire,RID11056,RID11052
radiofrequency ablation endpoint determinant,RID11058,RID11005
target temperature endpoint,RID11059,RID11058
impedance control endpoint,RID11060,RID11058
duration of ablation endpoint,RID11061,RID11058
focused ultrasound energy application method,RID11062,RID11005
extracorporeal application,RID11063,RID11062
direct application,RID11065,RID11062
bolus triggering method,RID11066,RID11005
best estimated timing,RID11067,RID11066
automated bolus tracking,RID11069,RID11066
real-time reconstructed MR images,RID11071,RID11066
test bolus,RID11073,RID11066
procedure complication timing,RID11074,RID11005
immediate complication,RID11075,RID11074
early complication,RID11076,RID11074
late complication,RID11077,RID11074
substance administration attribute,RID11078,RID7480
enhancement phase,RID11079,RID35976
arterial phase,RID11080,RID11079
delayed phase,RID11081,RID11079
early arterial phase,RID11082,RID11080
early venous phase,RID11083,RID49529
late venous phase,RID11084,RID49529
portal venous phase,RID11085,RID49529
unenhanced phase,RID11086,RID11079
route of administration,RID11087,RID11078
auricular,RID11088,RID39102
buccal,RID11090,RID39102
conjunctival,RID11091,RID39102
cutaneous,RID11092,RID39102
dental,RID11093,RID39102
electroosmosis,RID11094,RID11087
endocervical,RID11095,RID39102
endosinusial,RID11097,RID39102
endotracheal,RID11098,RID39102
enteral,RID11099,RID39102
epidural route,RID11100,RID39102
extra-amniotic,RID11101,RID39102
extracorporeal,RID11102,RID39102
hemodialysis,RID11103,RID11087
infiltration route,RID11104,RID11087
interstitial route,RID11105,RID39102
intra-abdominal,RID11106,RID39102
intra-amniotic,RID11107,RID39102
intra-arterial,RID11108,RID39102
intra-articular,RID11109,RID39102
intrabiliary,RID11110,RID39102
intrabronchial,RID11111,RID39102
intrabursal,RID11112,RID39102
intracardiac,RID11113,RID39102
intracartilaginous,RID11114,RID39102
intracaudal,RID11115,RID39102
intracavernous,RID11116,RID39102
intracavitary,RID11117,RID39102
intracerebral,RID11118,RID39102
intracisternal,RID11119,RID39102
intracorneal,RID11120,RID39102
"intracoronal, dental",RID11121,RID39102
intracoronary,RID11122,RID39102
intracorporus cavernosum,RID11123,RID39102
intradermal,RID11124,RID39102
intradiscal,RID11125,RID39102
intraductal,RID11126,RID39102
intraduodenal,RID11127,RID39102
intradural,RID11128,RID39102
intraepidermal,RID11129,RID39102
intraesophageal,RID11130,RID39102
intragastric,RID11131,RID39102
intragingival,RID11132,RID39102
intraileal,RID11133,RID39102
intralesional,RID11134,RID39102
intraluminal,RID11135,RID39102
intralymphatic,RID11136,RID39102
intramedullary,RID11137,RID39102
intrameningeal,RID11138,RID39102
intramuscular,RID11139,RID39102
intraocular,RID11140,RID39102
intraovarian,RID11141,RID39102
intrapericardial,RID11142,RID39102
intraperitoneal,RID11143,RID39102
intrapleural,RID11144,RID39102
intraprostatic,RID11145,RID39102
intrapulmonary,RID11146,RID39102
intrasinal,RID11147,RID39102
intraspinal,RID11148,RID39102
intrasynovial,RID11149,RID39102
intratendinous,RID11150,RID39102
intratesticular,RID11151,RID39102
intrathoracic,RID11153,RID39102
intratubular,RID11155,RID39102
intratumor,RID11156,RID11087
intratympanic,RID11157,RID39102
intrauterine,RID11158,RID39102
intravascular,RID11159,RID39102
intravenous,RID11160,RID39102
intravenous bolus,RID11161,RID12815
intravenous drip,RID11162,RID12814
intraventricular,RID11163,RID39102
intravesical,RID11164,RID39102
intravitreal,RID11165,RID39102
iontophoresis,RID11166,RID11087
irrigation,RID11167,RID11087
laryngeal,RID11168,RID39102
nasal,RID11169,RID39102
nasogastric,RID11170,RID39102
occlusive dressing technique,RID11171,RID11087
ophthalmic,RID11172,RID39102
oral,RID11173,RID39102
oropharyngeal,RID11174,RID39102
parenteral,RID11175,RID11087
percutaneous,RID11176,RID39102
periarticular,RID11177,RID39102
peridural,RID11178,RID39102
perineural,RID11179,RID39102
periodontal,RID11180,RID39102
rectal,RID11181,RID39102
respiratory,RID11182,RID39102
retrobulbar,RID11184,RID39102
soft tissue administration,RID11185,RID11087
subconjunctival,RID11187,RID39102
subcutaneous,RID11188,RID39102
sublingual,RID11190,RID39102
submucosal,RID11191,RID39102
topical,RID11192,RID11087
transdermal,RID11193,RID39102
transmucosal,RID11194,RID39102
transplacental,RID11195,RID39102
transtracheal,RID11196,RID39102
transtympanic,RID11197,RID39102
ureteral,RID11198,RID39102
urethral,RID11199,RID39102
vaginal,RID11200,RID39102
via existing access,RID11201,RID11087
cut down,RID11202,RID11087
open surgical,RID11203,RID11087
transcutaneous needle puncture,RID11204,RID49956
transpleural,RID11206,RID39102
transarterial,RID11207,RID39102
transvenous,RID11208,RID39102
laparascopic,RID11209,RID11087
endoscopic,RID11210,RID11087
embolic agent,RID11211,RID7478
temporary embolic agent,RID11212,RID11211
absorbable gelatin sponge,RID11213,RID11212
polyvinyl alcohol,RID11215,RID11211
calibrated microspheres,RID11217,RID11211
glue,RID11218,RID11211
